,escola,corr_direta,tp_rede,uf,ind_disp,corr_ind,tx_progr,tx_evolucao,ideb_ai,ideb_af,tx_cresc_af,tx_cresc_ai
1791,22038230,0.01901252014993101,Municipal,PI,5.095062600749655,0.6652821635746654,0.0254029304029304,0.1700000000000001,4.3,3.6,0.44000000000000006,0.6538461538461537
1792,22138706,0.7619244359868278,Municipal,PI,8.80962217993414,0.8725470130387389,-0.021065902859381147,0.14999999999999988,4.5,4.2,1.0,0.9565217391304349
1793,22100342,0.9997153227470604,Municipal,PI,9.998576613735302,0.5765566601970553,0.14204980842911863,0.2244444444444443,3.7,0.0,0.31034482758620685,0.3448275862068966
1794,22086684,0.3863337046431278,Municipal,PI,6.931668523215639,-0.7013343843696719,0.11567774519387419,-0.10643015521064293,4.5,3.9,-0.04878048780487799,0.125
1795,22016694,0.7508977004522436,Estadual,PI,8.754488502261218,0.3238199114297371,0.0510437747569461,-0.20042530568846353,7.6,6.4,3.9230769230769234,0.6170212765957446
1796,22135332,-0.28513174057564344,Municipal,PI,3.5743412971217827,0.036827146210517706,0.14779974067899748,-0.2286324786324786,5.5,3.8,0.05555555555555548,0.44736842105263164
1797,22010017,0.1649883996609588,Municipal,PI,5.824941998304794,0.8954625462713494,0.05527331843121308,0.10526315789473695,3.3,4.2,0.5000000000000001,-0.0571428571428572
1798,22117598,-0.068880632841425,Municipal,PI,4.655596835792874,0.6787129431596322,-0.041492729179671506,-0.2632653061224491,3.8,3.8,0.0,0.0
1799,22136371,0.8217008946871568,Municipal,PI,9.108504473435785,-0.8660254037844396,0.043402977200886594,-0.18228200371057549,5.4,0.0,0.17948717948717943,0.12195121951219513
1800,22113096,0.7126783035029849,Municipal,PI,8.563391517514924,0.49882292244935333,0.200422863054442,0.7857142857142856,0.0,3.0,0.03448275862068969,-0.20000000000000004
1801,22132481,0.05214885156456234,Municipal,PI,5.260744257822811,-0.7203966154757914,-0.0160679339626707,-0.35337837837837843,2.8,2.9,-0.06451612903225812,-0.15151515151515152
1802,22099336,0.04860274359041717,Municipal,PI,5.243013717952086,0.6839505680874644,-0.13967075834083498,0.381074168797954,4.2,3.0,0.1538461538461538,0.16666666666666669
1803,22132155,-0.48634596569465505,Municipal,PI,2.5682701715267253,-0.2968661253879899,0.31980964428782266,-0.42954159592529706,3.2,3.2,-0.05882352941176463,0.5238095238095238
1804,22045376,0.6088440172636214,Municipal,PI,8.044220086318107,-0.6268486255794236,0.13363564098858216,-0.4634146341463414,3.9,3.8,0.6521739130434783,0.14705882352941177
1805,22111174,0.26561007549798865,Municipal,PI,6.3280503774899435,-0.6933752452815366,-0.2448330683624801,0.20081135902636932,4.3,3.2,-0.13513513513513511,0.16216216216216206
1806,22112510,0.7221850227452261,Municipal,PI,8.61092511372613,0.9170245764870336,0.1315117014547753,0.006435006435006207,4.7,4.6,0.2777777777777776,0.3823529411764707
1807,22133569,-0.07900136749624721,Municipal,PI,4.604993162518763,0.7298434071748647,0.08937062937062934,0.3296703296703297,3.6,3.3,0.0,0.20000000000000004
1808,22049703,0.6809264182392515,Municipal,PI,8.404632091196257,0.7970167702187487,0.22403535940121322,-0.08458744161909693,5.1,4.9,0.44117647058823545,0.49999999999999994
1809,22108785,0.7849655547681705,Municipal,PI,8.924827773840853,0.7104220341312997,0.20995319044099547,-0.46913580246913583,4.2,4.3,0.48275862068965514,0.4000000000000001
1810,22083340,0.5283174407321964,Municipal,PI,7.641587203660983,0.19573159984274607,0.07593709432142726,-0.21511627906976732,4.6,4.5,0.4516129032258064,0.5333333333333332
1811,22132953,-0.5107008838700523,Municipal,PI,2.4464955806497386,-0.5555555555555558,-0.1997476871320436,-0.29268292682926816,4.2,3.2,-0.05882352941176463,0.44827586206896564
1812,22046038,-0.08006407690254431,Municipal,PI,4.599679615487279,0.7258231222558292,-0.027743872905163336,-0.1367731367731368,4.2,3.1,-0.03125000000000003,0.3548387096774194
1813,22050337,0.7269489288599066,Municipal,PI,8.634744644299532,0.9960784162656541,0.08791144085261737,0.4396396396396396,5.5,4.7,0.3823529411764707,0.6176470588235294
1814,22088300,0.575265212652606,Municipal,PI,7.87632606326303,0.741560512679377,0.13889030139308223,-0.04247104247104257,4.7,4.0,0.3333333333333333,0.6206896551724139
